"hour_of_day","cash_type","money","coffee_name","time_of_day","weekday","month_name","weekdaysort","monthsort","Date","Time"
"17","card","28.9","Cortado","Night","Sun","Mar","7","3","2024-03-03","17:08:45.895000"
"18","card","33.8","Americano with Milk","Night","Sun","Mar","7","3","2024-03-03","18:03:23.369000"
"18","card","33.8","Americano with Milk","Night","Sun","Mar","7","3","2024-03-03","18:04:27.946000"
"18","card","38.7","Hot Chocolate","Night","Sun","Mar","7","3","2024-03-03","18:08:04.959000"
"10","card","38.7","Latte","Morning","Mon","Mar","1","3","2024-03-04","10:03:51.994000"
"10","card","38.7","Latte","Morning","Mon","Mar","1","3","2024-03-04","10:54:50.958000"
"11","card","33.8","Americano with Milk","Morning","Mon","Mar","1","3","2024-03-04","11:05:16.184000"
"14","card","24.0","Espresso","Afternoon","Mon","Mar","1","3","2024-03-04","14:04:37.734000"
"9","card","38.7","Latte","Morning","Tue","Mar","2","3","2024-03-05","09:59:52.651000"
"14","card","38.7","Latte","Afternoon","Tue","Mar","2","3","2024-03-05","14:34:55.963000"
"17","card","38.7","Latte","Night","Tue","Mar","2","3","2024-03-05","17:34:06.043000"
"17","card","38.7","Hot Chocolate","Night","Tue","Mar","2","3","2024-03-05","17:35:25.021000"
"17","card","38.7","Cocoa","Night","Tue","Mar","2","3","2024-03-05","17:36:28.571000"
"17","card","38.7","Hot Chocolate","Night","Tue","Mar","2","3","2024-03-05","17:37:13.659000"
"17","card","38.7","Hot Chocolate","Night","Tue","Mar","2","3","2024-03-05","17:38:09.354000"
"17","card","28.9","Cortado","Night","Tue","Mar","2","3","2024-03-05","17:56:15.776000"
"18","card","38.7","Hot Chocolate","Night","Tue","Mar","2","3","2024-03-05","18:01:31.242000"
"13","card","28.9","Americano","Afternoon","Wed","Mar","3","3","2024-03-06","13:24:07.667000"
"13","card","28.9","Cortado","Afternoon","Wed","Mar","3","3","2024-03-06","13:25:14.351000"
"14","card","38.7","Cappuccino","Afternoon","Wed","Mar","3","3","2024-03-06","14:52:01.761000"
"14","card","38.7","Cappuccino","Afternoon","Wed","Mar","3","3","2024-03-06","14:53:18.344000"
"10","card","38.7","Hot Chocolate","Morning","Thu","Mar","4","3","2024-03-07","10:18:40.543000"
"11","card","38.7","Latte","Morning","Thu","Mar","4","3","2024-03-07","11:03:58.976000"
"15","card","28.9","Americano","Afternoon","Thu","Mar","4","3","2024-03-07","15:40:22.606000"
"15","card","33.8","Americano with Milk","Afternoon","Thu","Mar","4","3","2024-03-07","15:41:28.784000"
"10","card","28.9","Cortado","Morning","Fri","Mar","5","3","2024-03-08","10:34:41.283000"
"12","card","38.7","Cappuccino","Afternoon","Fri","Mar","5","3","2024-03-08","12:22:28.653000"
"13","card","28.9","Americano","Afternoon","Fri","Mar","5","3","2024-03-08","13:53:02.042000"
"14","card","28.9","Americano","Afternoon","Fri","Mar","5","3","2024-03-08","14:44:12.686000"
"14","card","28.9","Americano","Afternoon","Fri","Mar","5","3","2024-03-08","14:45:11.048000"
"14","card","33.8","Americano with Milk","Afternoon","Fri","Mar","5","3","2024-03-08","14:46:11.155000"
"18","card","38.7","Latte","Night","Fri","Mar","5","3","2024-03-08","18:57:51.451000"
"18","card","38.7","Latte","Night","Fri","Mar","5","3","2024-03-08","18:59:24.941000"
"12","card","24.0","Espresso","Afternoon","Sat","Mar","6","3","2024-03-09","12:05:15.559000"
"12","card","28.9","Americano","Afternoon","Sat","Mar","6","3","2024-03-09","12:07:38.275000"
"12","card","38.7","Cappuccino","Afternoon","Sat","Mar","6","3","2024-03-09","12:09:47.714000"
"12","card","28.9","Americano","Afternoon","Sat","Mar","6","3","2024-03-09","12:13:03.521000"
"12","card","28.9","Americano","Afternoon","Sat","Mar","6","3","2024-03-09","12:14:26.458000"
"13","card","38.7","Latte","Afternoon","Sat","Mar","6","3","2024-03-09","13:09:22.229000"
"13","card","33.8","Americano with Milk","Afternoon","Sat","Mar","6","3","2024-03-09","13:41:06.167000"
"13","card","28.9","Cortado","Afternoon","Sat","Mar","6","3","2024-03-09","13:53:10.408000"
"13","card","38.7","Cappuccino","Afternoon","Sat","Mar","6","3","2024-03-09","13:54:36.828000"
"14","card","33.8","Americano with Milk","Afternoon","Sat","Mar","6","3","2024-03-09","14:08:01.829000"
"14","card","38.7","Hot Chocolate","Afternoon","Sat","Mar","6","3","2024-03-09","14:26:52.873000"
"19","card","38.7","Cappuccino","Night","Sat","Mar","6","3","2024-03-09","19:17:57.572000"
"19","card","38.7","Hot Chocolate","Night","Sat","Mar","6","3","2024-03-09","19:19:10.084000"
"11","card","24.0","Espresso","Morning","Sun","Mar","7","3","2024-03-10","11:19:20.764000"
"19","card","38.7","Latte","Night","Sun","Mar","7","3","2024-03-10","19:34:00.478000"
"19","card","28.9","Cortado","Night","Sun","Mar","7","3","2024-03-10","19:35:54.712000"
"11","card","38.7","Cappuccino","Morning","Mon","Mar","1","3","2024-03-11","11:32:58.781000"
"16","card","28.9","Americano","Afternoon","Mon","Mar","1","3","2024-03-11","16:24:26.401000"
"16","card","38.7","Latte","Afternoon","Mon","Mar","1","3","2024-03-11","16:25:45.664000"
"16","card","28.9","Cortado","Afternoon","Mon","Mar","1","3","2024-03-11","16:50:49.608000"
"10","card","28.9","Americano","Morning","Tue","Mar","2","3","2024-03-12","10:15:34.543000"
"10","card","28.9","Cortado","Morning","Tue","Mar","2","3","2024-03-12","10:16:24.886000"
"11","card","38.7","Hot Chocolate","Morning","Tue","Mar","2","3","2024-03-12","11:20:45.632000"
"12","card","33.8","Americano with Milk","Afternoon","Tue","Mar","2","3","2024-03-12","12:46:23.275000"
"12","card","28.9","Americano","Afternoon","Tue","Mar","2","3","2024-03-12","12:47:26.027000"
"16","card","28.9","Americano","Afternoon","Tue","Mar","2","3","2024-03-12","16:15:43.325000"
"11","card","38.7","Hot Chocolate","Morning","Wed","Mar","3","3","2024-03-13","11:06:43.038000"
"11","card","28.9","Americano","Morning","Wed","Mar","3","3","2024-03-13","11:48:16.753000"
"12","card","28.9","Americano","Afternoon","Wed","Mar","3","3","2024-03-13","12:18:06.336000"
"12","card","28.9","Americano","Afternoon","Wed","Mar","3","3","2024-03-13","12:19:05.128000"
"14","card","33.8","Americano with Milk","Afternoon","Wed","Mar","3","3","2024-03-13","14:26:40.875000"
"15","card","24.0","Espresso","Afternoon","Wed","Mar","3","3","2024-03-13","15:40:22.261000"
"15","card","24.0","Espresso","Afternoon","Wed","Mar","3","3","2024-03-13","15:41:20.424000"
"16","card","24.0","Espresso","Afternoon","Wed","Mar","3","3","2024-03-13","16:47:09.373000"
"10","card","38.7","Latte","Morning","Thu","Mar","4","3","2024-03-14","10:28:33.017000"
"10","card","38.7","Hot Chocolate","Morning","Thu","Mar","4","3","2024-03-14","10:29:34.283000"
"13","card","28.9","Cortado","Afternoon","Thu","Mar","4","3","2024-03-14","13:27:29.536000"
"13","card","28.9","Americano","Afternoon","Thu","Mar","4","3","2024-03-14","13:28:24.527000"
"13","card","33.8","Americano with Milk","Afternoon","Thu","Mar","4","3","2024-03-14","13:51:59.905000"
"13","card","24.0","Espresso","Afternoon","Thu","Mar","4","3","2024-03-14","13:52:56.248000"
"15","card","38.7","Latte","Afternoon","Thu","Mar","4","3","2024-03-14","15:20:38.367000"
"16","card","33.8","Americano with Milk","Afternoon","Thu","Mar","4","3","2024-03-14","16:04:09.506000"
"16","card","24.0","Espresso","Afternoon","Thu","Mar","4","3","2024-03-14","16:54:38.202000"
"18","card","38.7","Hot Chocolate","Night","Thu","Mar","4","3","2024-03-14","18:58:55.854000"
"19","card","28.9","Cortado","Night","Thu","Mar","4","3","2024-03-14","19:00:08.663000"
